timestamp,signal_x,signal_y,signal_z
0.0,1.036,-0.007,0.188
1.0,1.043,-0.009,0.185
2.0,1.049,-0.013,0.175
3.0,1.035,-0.010,0.179
4.0,1.041,-0.015,0.180
5.0,1.049,-0.010,0.175
6.0,1.044,-0.009,0.176
7.0,1.034,-0.013,0.183
8.0,1.040,-0.008,0.176
9.0,1.048,-0.011,0.177
10.0,1.041,-0.010,0.192
11.0,1.033,-0.011,0.193
12.0,1.042,-0.009,0.184
13.0,1.049,-0.015,0.187
14.0,1.044,-0.013,0.192
15.0,1.040,-0.006,0.184
16.0,1.050,-0.010,0.174
17.0,1.046,-0.006,0.174
18.0,1.033,-0.011,0.184
19.0,1.043,-0.014,0.180
20.0,1.043,-0.011,0.183
21.0,1.032,-0.009,0.187
22.0,1.031,-0.012,0.187
23.0,1.046,-0.011,0.177
24.0,1.045,-0.016,0.184
25.0,1.039,-0.015,0.186
26.0,1.039,-0.010,0.187
27.0,1.050,-0.009,0.185
28.0,1.041,-0.007,0.186
29.0,1.032,-0.008,0.195
30.0,1.038,-0.003,0.191
31.0,1.043,-0.007,0.183
32.0,1.040,-0.009,0.187
33.0,1.035,-0.008,0.187
34.0,1.035,-0.006,0.176
35.0,1.048,-0.007,0.180
36.0,1.038,-0.011,0.178
37.0,1.031,-0.015,0.188
38.0,1.032,-0.014,0.182
39.0,1.048,-0.010,0.181
40.0,1.042,-0.012,0.180
41.0,1.031,-0.009,0.174
42.0,1.034,-0.007,0.177
43.0,1.037,-0.013,0.177
44.0,1.038,-0.010,0.191
45.0,1.044,-0.009,0.190
46.0,1.046,-0.012,0.183
47.0,1.040,-0.012,0.175
48.0,1.031,-0.011,0.178
49.0,1.042,-0.009,0.188
50.0,1.043,-0.010,0.174
51.0,1.035,-0.013,0.177
52.0,1.033,-0.018,0.182
53.0,1.034,-0.013,0.186
54.0,1.047,-0.014,0.184
55.0,1.043,-0.010,0.178
56.0,1.041,-0.015,0.174
57.0,1.045,-0.013,0.182
58.0,1.045,-0.010,0.189
59.0,1.041,-0.014,0.192
60.0,1.040,-0.011,0.182
61.0,1.045,-0.009,0.179
62.0,1.042,-0.008,0.186
63.0,1.036,-0.002,0.179
64.0,1.033,-0.007,0.190
65.0,1.042,-0.006,0.189
66.0,1.046,-0.007,0.179
67.0,1.036,-0.006,0.182
68.0,1.036,-0.010,0.182
69.0,1.037,-0.008,0.175
70.0,1.042,-0.007,0.179
71.0,1.039,-0.004,0.182
72.0,1.045,-0.007,0.192
73.0,1.040,-0.010,0.181
74.0,1.043,-0.010,0.175
75.0,1.042,-0.010,0.178
76.0,1.040,-0.011,0.181
77.0,1.038,-0.010,0.186
78.0,1.041,-0.007,0.183
79.0,1.041,-0.003,0.182
80.0,1.032,-0.010,0.176
81.0,1.032,-0.014,0.186
82.0,1.035,-0.009,0.179
83.0,1.042,-0.010,0.184
84.0,1.035,-0.013,0.184
85.0,1.032,-0.013,0.190
86.0,1.041,-0.015,0.188
87.0,1.044,-0.012,0.181
88.0,1.037,-0.008,0.185
89.0,1.033,-0.005,0.197
90.0,1.050,-0.007,0.189
91.0,1.042,-0.005,0.185
92.0,1.034,-0.006,0.185
93.0,1.035,-0.009,0.180
94.0,1.046,-0.013,0.170
95.0,1.042,-0.010,0.170
96.0,1.025,-0.016,0.177
97.0,1.030,-0.008,0.178
98.0,1.051,-0.007,0.180
99.0,1.050,-0.007,0.182
100.0,1.042,-0.017,0.188
101.0,1.034,-0.021,0.189
102.0,1.036,-0.012,0.180
103.0,1.036,-0.007,0.185
104.0,1.036,-0.013,0.185
105.0,1.048,-0.012,0.196
106.0,1.047,-0.009,0.201
107.0,1.043,-0.006,0.208
108.0,1.032,-0.007,0.208
109.0,1.040,-0.007,0.213
110.0,1.044,-0.008,0.214
111.0,1.034,-0.014,0.228
112.0,1.033,-0.011,0.214
113.0,1.044,-0.010,0.201
114.0,1.044,-0.014,0.207
115.0,1.035,-0.017,0.204
116.0,1.031,-0.016,0.199
117.0,1.038,-0.019,0.205
118.0,1.038,-0.014,0.213
119.0,1.033,-0.015,0.216
120.0,1.037,-0.012,0.220
121.0,1.042,-0.011,0.217
122.0,1.038,-0.010,0.218
123.0,1.032,-0.012,0.219
124.0,1.043,-0.010,0.224
125.0,1.045,-0.015,0.218
126.0,1.026,-0.014,0.207
127.0,1.014,-0.012,0.213
128.0,1.030,-0.008,0.216
129.0,1.044,-0.000,0.229
130.0,1.041,-0.006,0.238
131.0,1.043,-0.006,0.231
132.0,1.039,-0.004,0.226
133.0,1.036,-0.005,0.234
134.0,1.039,-0.009,0.235
135.0,1.035,-0.010,0.224
136.0,1.039,-0.008,0.228
137.0,1.031,-0.007,0.226
138.0,1.033,-0.009,0.222
139.0,1.036,-0.008,0.210
140.0,1.040,-0.013,0.199
141.0,1.031,-0.015,0.202
142.0,1.031,-0.012,0.192
143.0,1.029,-0.010,0.187
144.0,1.035,-0.015,0.190
145.0,1.039,-0.009,0.189
146.0,1.039,-0.014,0.189
147.0,1.032,-0.014,0.196
148.0,1.036,-0.005,0.197
149.0,1.043,-0.011,0.196
150.0,1.042,-0.014,0.194
151.0,1.035,-0.012,0.203
152.0,1.042,-0.007,0.208
153.0,1.049,-0.003,0.204
154.0,1.045,-0.008,0.199
155.0,1.044,-0.013,0.191
156.0,1.044,-0.013,0.190
157.0,1.037,-0.012,0.191
158.0,1.038,-0.010,0.186
159.0,1.036,-0.009,0.177
160.0,1.036,-0.014,0.178
161.0,1.041,-0.015,0.189
162.0,1.042,-0.013,0.187
163.0,1.043,-0.015,0.186
164.0,1.050,-0.015,0.179
165.0,1.043,-0.014,0.179
166.0,1.040,-0.014,0.180
167.0,1.043,-0.011,0.174
168.0,1.034,-0.009,0.172
169.0,1.037,-0.012,0.172
170.0,1.044,-0.006,0.170
171.0,1.040,-0.008,0.174
172.0,1.033,-0.010,0.184
173.0,1.036,-0.008,0.184
174.0,1.044,-0.010,0.189
175.0,1.042,-0.012,0.186
176.0,1.036,-0.017,0.190
177.0,1.043,-0.012,0.201
178.0,1.050,-0.009,0.191
179.0,1.044,-0.012,0.185
180.0,1.039,-0.013,0.181
181.0,1.039,-0.011,0.179
182.0,1.039,-0.010,0.177
183.0,1.037,-0.010,0.186
184.0,1.038,-0.005,0.179
185.0,1.045,-0.010,0.178
186.0,1.047,-0.008,0.177
187.0,1.044,-0.011,0.186
188.0,1.039,-0.016,0.181
