timestamp,signal_x,signal_y,signal_z
0.0,1.036,-0.012,0.186
1.0,1.035,-0.012,0.188
2.0,1.036,-0.010,0.189
3.0,1.045,-0.014,0.184
4.0,1.046,-0.015,0.187
5.0,1.041,-0.008,0.198
6.0,1.037,-0.002,0.193
7.0,1.040,-0.004,0.187
8.0,1.038,-0.009,0.189
9.0,1.036,-0.007,0.185
10.0,1.041,-0.007,0.177
11.0,1.048,-0.004,0.174
12.0,1.037,-0.007,0.173
13.0,1.040,-0.007,0.185
14.0,1.043,-0.012,0.178
15.0,1.042,-0.014,0.182
16.0,1.041,-0.012,0.190
17.0,1.036,-0.018,0.189
18.0,1.035,-0.011,0.195
19.0,1.044,-0.008,0.195
20.0,1.049,-0.012,0.192
21.0,1.038,-0.009,0.195
22.0,1.041,-0.007,0.199
23.0,1.041,-0.007,0.190
24.0,1.036,-0.005,0.186
25.0,1.032,-0.008,0.182
26.0,1.035,-0.008,0.180
27.0,1.041,-0.008,0.179
28.0,1.040,-0.010,0.181
29.0,1.039,-0.016,0.179
30.0,1.039,-0.014,0.183
31.0,1.042,-0.017,0.173
32.0,1.034,-0.014,0.175
33.0,1.039,-0.017,0.181
34.0,1.042,-0.010,0.186
35.0,1.042,-0.007,0.189
36.0,1.032,-0.006,0.187
37.0,1.038,-0.005,0.182
38.0,1.040,-0.012,0.180
39.0,1.035,-0.007,0.183
40.0,1.040,-0.008,0.181
41.0,1.037,-0.014,0.179
42.0,1.032,-0.009,0.175
43.0,1.035,-0.004,0.181
44.0,1.041,-0.011,0.183
45.0,1.043,-0.010,0.189
46.0,1.041,-0.013,0.190
47.0,1.048,-0.012,0.176
48.0,1.042,-0.010,0.182
49.0,1.038,-0.007,0.189
50.0,1.039,-0.005,0.178
51.0,1.045,-0.011,0.180
52.0,1.041,-0.009,0.176
53.0,1.035,-0.004,0.182
54.0,1.044,-0.006,0.195
55.0,1.047,-0.008,0.183
56.0,1.043,-0.006,0.179
57.0,1.036,-0.010,0.182
58.0,1.042,-0.012,0.175
59.0,1.039,-0.012,0.171
60.0,1.039,-0.010,0.168
61.0,1.039,-0.010,0.175
62.0,1.044,-0.008,0.187
63.0,1.041,-0.012,0.179
64.0,1.038,-0.012,0.180
65.0,1.039,-0.007,0.188
66.0,1.043,-0.007,0.187
67.0,1.040,-0.011,0.181
68.0,1.036,-0.015,0.187
69.0,1.040,-0.015,0.189
70.0,1.045,-0.010,0.180
71.0,1.036,-0.011,0.180
72.0,1.035,-0.006,0.177
73.0,1.041,-0.005,0.168
74.0,1.039,-0.009,0.173
75.0,1.035,-0.011,0.182
76.0,1.033,-0.011,0.187
77.0,1.036,-0.009,0.181
78.0,1.038,-0.010,0.178
79.0,1.032,-0.009,0.181
80.0,1.035,-0.004,0.179
81.0,1.041,-0.004,0.177
82.0,1.043,-0.004,0.181
83.0,1.038,-0.011,0.195
84.0,1.047,-0.011,0.184
85.0,1.050,-0.010,0.183
86.0,1.040,-0.016,0.195
87.0,1.040,-0.012,0.186
88.0,1.042,-0.008,0.177
89.0,1.040,-0.013,0.181
90.0,1.039,-0.012,0.182
91.0,1.043,-0.011,0.188
92.0,1.046,-0.006,0.180
93.0,1.041,-0.007,0.176
94.0,1.038,-0.007,0.182
95.0,1.042,-0.009,0.175
96.0,1.044,-0.009,0.186
97.0,1.038,-0.010,0.180
98.0,1.043,-0.009,0.187
99.0,1.048,-0.009,0.174
100.0,1.044,-0.010,0.183
101.0,1.040,-0.008,0.198
102.0,1.042,-0.009,0.182
103.0,1.041,-0.010,0.184
104.0,1.035,-0.009,0.181
105.0,1.038,-0.008,0.178
106.0,1.042,-0.014,0.181
107.0,1.039,-0.008,0.190
108.0,1.039,-0.006,0.185
109.0,1.047,-0.011,0.176
110.0,1.046,-0.017,0.179
111.0,1.043,-0.014,0.187
112.0,1.035,-0.009,0.183
113.0,1.042,-0.009,0.187
114.0,1.046,-0.009,0.188
115.0,1.036,-0.009,0.191
116.0,1.040,-0.014,0.187
117.0,1.046,-0.017,0.177
118.0,1.041,-0.012,0.173
119.0,1.033,-0.010,0.179
120.0,1.031,-0.013,0.187
121.0,1.038,-0.010,0.184
122.0,1.040,-0.007,0.191
123.0,1.038,-0.006,0.198
124.0,1.041,-0.006,0.188
125.0,1.047,-0.007,0.185
126.0,1.041,-0.011,0.196
127.0,1.041,-0.010,0.191
128.0,1.042,-0.010,0.184
129.0,1.047,-0.009,0.182
130.0,1.038,-0.009,0.181
131.0,1.035,-0.010,0.178
132.0,1.041,-0.005,0.169
133.0,1.041,-0.010,0.174
134.0,1.040,-0.015,0.175
135.0,1.040,-0.012,0.180
136.0,1.040,-0.010,0.175
137.0,1.040,-0.011,0.181
138.0,1.036,-0.012,0.178
139.0,1.041,-0.013,0.177
140.0,1.040,-0.007,0.183
141.0,1.040,-0.007,0.181
142.0,1.035,-0.006,0.192
143.0,1.038,-0.000,0.194
144.0,1.040,-0.003,0.189
145.0,1.044,-0.009,0.167
146.0,1.041,-0.013,0.181
147.0,1.035,-0.008,0.190
148.0,1.034,-0.012,0.177
149.0,1.037,-0.008,0.171
150.0,1.035,-0.010,0.166
151.0,1.035,-0.015,0.180
152.0,1.041,-0.012,0.182
153.0,1.038,-0.004,0.183
154.0,1.040,-0.006,0.197
155.0,1.047,-0.011,0.187
156.0,1.043,-0.012,0.189
157.0,1.041,-0.012,0.190
158.0,1.037,-0.012,0.184
159.0,1.042,-0.009,0.173
160.0,1.048,-0.008,0.177
161.0,1.034,-0.006,0.188
162.0,1.033,-0.010,0.175
163.0,1.042,-0.014,0.170
164.0,1.032,-0.017,0.183
165.0,1.031,-0.013,0.189
166.0,1.043,-0.014,0.181
167.0,1.045,-0.013,0.176
168.0,1.034,-0.018,0.184
169.0,1.037,-0.009,0.189
170.0,1.044,-0.013,0.192
171.0,1.047,-0.010,0.185
172.0,1.037,-0.006,0.194
173.0,1.037,-0.013,0.184
174.0,1.048,-0.013,0.179
175.0,1.041,-0.011,0.185
176.0,1.033,-0.006,0.185
177.0,1.039,-0.006,0.179
178.0,1.041,-0.012,0.179
179.0,1.036,-0.008,0.184
180.0,1.035,-0.006,0.177
181.0,1.043,-0.007,0.170
182.0,1.037,-0.012,0.183
183.0,1.035,-0.009,0.197
184.0,1.041,-0.012,0.190
185.0,1.041,-0.013,0.187
186.0,1.041,-0.007,0.186
187.0,1.035,-0.010,0.189
188.0,1.038,-0.012,0.186
189.0,1.043,-0.012,0.176
190.0,1.037,-0.009,0.180
191.0,1.042,-0.009,0.169
192.0,1.045,-0.007,0.171
193.0,1.038,-0.006,0.175
194.0,1.039,-0.012,0.178
195.0,1.045,-0.010,0.178
196.0,1.042,-0.011,0.176
197.0,1.038,-0.012,0.183
198.0,1.042,-0.013,0.191
199.0,1.044,-0.011,0.183
200.0,1.042,-0.010,0.188
201.0,1.040,-0.009,0.195
202.0,1.038,-0.009,0.185
203.0,1.041,-0.005,0.184
204.0,1.040,-0.003,0.177
205.0,1.040,-0.009,0.169
206.0,1.030,-0.008,0.186
207.0,1.031,-0.011,0.182
208.0,1.041,-0.011,0.179
209.0,1.033,-0.008,0.177
210.0,1.036,-0.011,0.175
211.0,1.046,-0.013,0.174
212.0,1.047,-0.013,0.182
213.0,1.035,-0.006,0.180
214.0,1.041,-0.003,0.181
215.0,1.047,-0.009,0.192
216.0,1.042,-0.012,0.179
217.0,1.036,-0.007,0.184
218.0,1.040,-0.007,0.187
219.0,1.043,-0.011,0.181
220.0,1.041,-0.015,0.184
221.0,1.031,-0.013,0.189
222.0,1.038,-0.008,0.181
223.0,1.044,-0.010,0.183
224.0,1.038,-0.008,0.177
225.0,1.032,-0.012,0.187
226.0,1.039,-0.014,0.178
227.0,1.042,-0.015,0.175
228.0,1.034,-0.018,0.176
229.0,1.031,-0.008,0.188
230.0,1.042,-0.009,0.184
231.0,1.040,-0.003,0.173
232.0,1.033,-0.005,0.181
233.0,1.039,-0.011,0.186
234.0,1.045,-0.011,0.182
235.0,1.040,-0.012,0.180
236.0,1.032,-0.005,0.179
237.0,1.037,-0.004,0.178
238.0,1.042,-0.011,0.171
239.0,1.036,-0.008,0.170
240.0,1.035,-0.011,0.186
241.0,1.036,-0.010,0.170
242.0,1.042,-0.008,0.178
243.0,1.048,-0.013,0.195
244.0,1.043,-0.011,0.183
245.0,1.039,-0.008,0.190
246.0,1.042,-0.008,0.193
247.0,1.042,-0.013,0.184
248.0,1.036,-0.015,0.179
249.0,1.036,-0.011,0.182
250.0,1.039,-0.004,0.172
251.0,1.040,-0.006,0.174
252.0,1.036,-0.012,0.175
253.0,1.040,-0.011,0.186
254.0,1.040,-0.010,0.188
255.0,1.036,-0.010,0.177
256.0,1.033,-0.011,0.184
257.0,1.045,-0.012,0.175
258.0,1.046,-0.008,0.178
259.0,1.042,-0.010,0.183
260.0,1.040,-0.007,0.183
261.0,1.038,-0.005,0.184
262.0,1.042,-0.005,0.194
263.0,1.039,-0.011,0.198
264.0,1.037,-0.006,0.183
265.0,1.038,-0.009,0.180
266.0,1.039,-0.004,0.179
267.0,1.043,-0.009,0.167
268.0,1.035,-0.015,0.177
269.0,1.031,-0.011,0.183
270.0,1.036,-0.011,0.188
271.0,1.045,-0.008,0.187
272.0,1.038,-0.011,0.188
273.0,1.041,-0.011,0.193
274.0,1.048,-0.011,0.185
275.0,1.039,-0.014,0.193
276.0,1.038,-0.014,0.199
277.0,1.046,-0.010,0.196
278.0,1.049,-0.013,0.189
279.0,1.041,-0.012,0.191
280.0,1.036,-0.007,0.171
281.0,1.037,-0.012,0.175
282.0,1.034,-0.010,0.175
283.0,1.037,-0.010,0.181
