timestamp,signal_x,signal_y,signal_z
0.0,1.033,-0.008,0.175
1.0,1.043,-0.010,0.171
2.0,1.045,-0.012,0.163
3.0,1.035,-0.011,0.169
4.0,1.042,-0.008,0.175
5.0,1.046,-0.017,0.170
6.0,1.047,-0.014,0.175
7.0,1.042,-0.013,0.180
8.0,1.038,-0.015,0.175
9.0,1.040,-0.009,0.166
10.0,1.037,-0.009,0.165
11.0,1.038,-0.007,0.169
12.0,1.040,-0.003,0.169
13.0,1.043,-0.009,0.169
14.0,1.044,-0.008,0.172
15.0,1.040,-0.006,0.172
16.0,1.044,-0.014,0.164
17.0,1.044,-0.014,0.176
18.0,1.047,-0.010,0.171
19.0,1.042,-0.016,0.178
20.0,1.044,-0.010,0.169
21.0,1.047,-0.010,0.171
22.0,1.042,-0.011,0.181
23.0,1.037,-0.010,0.175
24.0,1.041,-0.006,0.167
25.0,1.039,-0.013,0.166
26.0,1.032,-0.011,0.167
27.0,1.045,-0.015,0.176
28.0,1.045,-0.012,0.177
29.0,1.035,-0.008,0.164
30.0,1.036,-0.015,0.172
31.0,1.037,-0.015,0.172
32.0,1.043,-0.016,0.175
33.0,1.038,-0.018,0.178
34.0,1.038,-0.012,0.171
35.0,1.043,-0.014,0.175
36.0,1.038,-0.015,0.175
37.0,1.032,-0.013,0.178
38.0,1.035,-0.013,0.171
39.0,1.041,-0.016,0.178
40.0,1.047,-0.008,0.179
41.0,1.043,-0.008,0.177
42.0,1.041,-0.008,0.177
43.0,1.042,-0.009,0.179
44.0,1.041,-0.009,0.170
45.0,1.034,-0.014,0.163
46.0,1.041,-0.009,0.170
47.0,1.043,-0.011,0.163
48.0,1.043,-0.010,0.172
49.0,1.042,-0.007,0.172
50.0,1.040,-0.015,0.166
51.0,1.044,-0.011,0.175
52.0,1.047,-0.012,0.175
53.0,1.042,-0.010,0.166
54.0,1.041,-0.009,0.172
55.0,1.043,-0.007,0.160
56.0,1.042,-0.007,0.159
57.0,1.037,-0.005,0.171
58.0,1.037,-0.006,0.175
59.0,1.039,-0.006,0.171
60.0,1.046,-0.002,0.167
61.0,1.040,-0.014,0.180
62.0,1.030,-0.012,0.175
63.0,1.044,-0.003,0.174
64.0,1.048,-0.010,0.165
65.0,1.040,-0.010,0.178
66.0,1.037,-0.007,0.182
67.0,1.045,-0.014,0.166
68.0,1.051,-0.009,0.154
69.0,1.039,-0.012,0.169
70.0,1.032,-0.015,0.169
71.0,1.041,-0.016,0.166
72.0,1.045,-0.011,0.161
73.0,1.034,-0.015,0.174
74.0,1.039,-0.017,0.180
75.0,1.045,-0.013,0.174
76.0,1.040,-0.011,0.172
77.0,1.036,-0.008,0.176
78.0,1.032,-0.015,0.184
79.0,1.048,-0.008,0.173
80.0,1.051,-0.011,0.174
81.0,1.038,-0.014,0.176
82.0,1.038,-0.008,0.169
83.0,1.042,-0.007,0.164
84.0,1.044,-0.013,0.172
85.0,1.037,-0.010,0.180
86.0,1.037,-0.005,0.166
87.0,1.039,-0.013,0.175
88.0,1.040,-0.009,0.166
89.0,1.039,-0.016,0.175
90.0,1.035,-0.022,0.167
91.0,1.042,-0.010,0.168
92.0,1.051,-0.013,0.169
93.0,1.045,-0.018,0.175
94.0,1.038,-0.011,0.175
95.0,1.041,-0.011,0.172
96.0,1.042,-0.007,0.175
97.0,1.040,-0.005,0.176
98.0,1.034,-0.010,0.178
99.0,1.042,-0.005,0.179
100.0,1.043,-0.004,0.182
101.0,1.038,-0.011,0.172
102.0,1.039,-0.010,0.174
103.0,1.035,-0.008,0.175
104.0,1.036,-0.010,0.172
105.0,1.046,-0.011,0.166
106.0,1.038,-0.015,0.164
107.0,1.037,-0.015,0.174
108.0,1.040,-0.007,0.169
109.0,1.031,-0.012,0.177
110.0,1.035,-0.016,0.183
111.0,1.038,-0.010,0.175
112.0,1.043,-0.014,0.172
113.0,1.038,-0.013,0.175
114.0,1.039,-0.008,0.174
115.0,1.035,-0.016,0.172
116.0,1.040,-0.013,0.174
117.0,1.045,-0.009,0.179
118.0,1.038,-0.012,0.175
119.0,1.038,-0.007,0.167
120.0,1.045,-0.007,0.176
121.0,1.035,-0.012,0.176
122.0,1.034,-0.013,0.177
123.0,1.041,-0.015,0.166
124.0,1.047,-0.015,0.165
125.0,1.047,-0.012,0.173
126.0,1.038,-0.015,0.177
127.0,1.044,-0.011,0.169
128.0,1.050,-0.013,0.165
129.0,1.042,-0.014,0.170
130.0,1.040,-0.008,0.167
131.0,1.040,-0.008,0.167
132.0,1.039,-0.014,0.163
133.0,1.039,-0.012,0.165
134.0,1.037,-0.006,0.177
135.0,1.038,-0.005,0.174
136.0,1.034,-0.010,0.182
137.0,1.035,-0.011,0.177
138.0,1.040,-0.013,0.165
139.0,1.032,-0.009,0.177
140.0,1.043,-0.008,0.186
141.0,1.044,-0.010,0.178
142.0,1.034,-0.011,0.172
143.0,1.039,-0.012,0.166
144.0,1.041,-0.014,0.155
145.0,1.040,-0.010,0.170
146.0,1.047,-0.006,0.177
147.0,1.039,-0.014,0.182
148.0,1.041,-0.011,0.173
149.0,1.038,-0.010,0.170
150.0,1.041,-0.013,0.170
151.0,1.037,-0.016,0.175
152.0,1.040,-0.010,0.177
153.0,1.043,-0.011,0.174
154.0,1.033,-0.007,0.184
155.0,1.034,-0.014,0.175
156.0,1.036,-0.012,0.166
157.0,1.040,-0.009,0.173
158.0,1.043,-0.014,0.177
159.0,1.037,-0.016,0.173
160.0,1.036,-0.009,0.171
161.0,1.031,-0.013,0.177
162.0,1.042,-0.009,0.170
163.0,1.047,-0.010,0.166
164.0,1.042,-0.012,0.156
165.0,1.036,-0.010,0.175
166.0,1.040,-0.010,0.173
167.0,1.041,-0.013,0.176
168.0,1.041,-0.014,0.179
169.0,1.042,-0.012,0.171
170.0,1.037,-0.016,0.172
171.0,1.041,-0.017,0.172
172.0,1.042,-0.014,0.172
173.0,1.041,-0.014,0.173
174.0,1.045,-0.009,0.165
175.0,1.038,-0.011,0.168
176.0,1.047,-0.008,0.168
177.0,1.039,-0.011,0.170
178.0,1.042,-0.012,0.177
179.0,1.038,-0.009,0.175
180.0,1.041,-0.014,0.174
181.0,1.037,-0.007,0.169
182.0,1.044,-0.006,0.169
183.0,1.044,-0.010,0.172
184.0,1.036,-0.013,0.166
185.0,1.036,-0.008,0.166
186.0,1.044,-0.008,0.170
187.0,1.045,-0.017,0.172
188.0,1.044,-0.014,0.173
189.0,1.040,-0.015,0.176
190.0,1.039,-0.014,0.174
191.0,1.039,-0.012,0.180
