timestamp,signal_x,signal_y,signal_z
0.0,1.032,0.001,0.174
1.0,1.051,-0.015,0.172
2.0,1.048,-0.009,0.180
3.0,1.035,-0.018,0.194
4.0,1.037,-0.012,0.177
5.0,1.043,-0.019,0.176
6.0,1.035,-0.000,0.176
7.0,1.054,-0.030,0.160
8.0,1.042,0.002,0.168
9.0,1.020,-0.016,0.183
10.0,1.038,0.006,0.178
11.0,1.054,-0.020,0.177
12.0,1.033,-0.010,0.191
13.0,1.037,-0.018,0.182
14.0,1.055,-0.012,0.155
15.0,1.033,-0.018,0.170
16.0,1.026,-0.006,0.183
17.0,1.053,-0.025,0.150
18.0,1.048,-0.017,0.154
19.0,1.008,-0.020,0.191
20.0,1.035,-0.007,0.176
21.0,1.073,-0.008,0.156
22.0,1.039,-0.010,0.183
23.0,1.017,-0.019,0.204
24.0,1.045,-0.005,0.173
25.0,1.062,-0.012,0.165
26.0,1.033,-0.007,0.180
27.0,1.036,-0.025,0.166
28.0,1.048,-0.005,0.143
29.0,1.034,-0.010,0.171
30.0,1.033,0.002,0.182
31.0,1.049,-0.018,0.159
32.0,1.049,-0.008,0.181
33.0,1.032,-0.011,0.192
34.0,1.041,-0.007,0.178
35.0,1.040,-0.017,0.178
36.0,1.044,-0.001,0.165
37.0,1.049,-0.031,0.156
38.0,1.031,-0.001,0.166
39.0,1.023,-0.021,0.179
40.0,1.047,0.000,0.169
41.0,1.052,-0.016,0.174
42.0,1.032,-0.003,0.189
43.0,1.037,-0.015,0.196
44.0,1.060,-0.003,0.168
45.0,1.035,-0.012,0.179
46.0,1.036,-0.001,0.180
47.0,1.063,-0.015,0.152
48.0,1.052,-0.010,0.148
49.0,1.019,-0.008,0.172
50.0,1.031,0.002,0.166
51.0,1.060,-0.011,0.157
52.0,1.039,-0.003,0.179
53.0,1.025,-0.012,0.186
54.0,1.045,-0.003,0.160
55.0,1.051,-0.008,0.165
56.0,1.040,0.001,0.179
57.0,1.050,-0.029,0.164
58.0,1.047,-0.009,0.154
59.0,1.026,-0.014,0.172
60.0,1.042,-0.002,0.169
61.0,1.044,-0.015,0.164
62.0,1.023,-0.012,0.178
63.0,1.031,-0.013,0.184
64.0,1.056,-0.001,0.169
65.0,1.046,-0.015,0.182
66.0,1.042,-0.004,0.186
67.0,1.068,-0.025,0.168
68.0,1.045,-0.002,0.165
69.0,1.030,-0.009,0.184
70.0,1.044,0.004,0.173
71.0,1.049,-0.021,0.168
72.0,1.027,-0.007,0.173
73.0,1.027,-0.019,0.186
74.0,1.053,-0.015,0.162
75.0,1.032,-0.019,0.179
76.0,1.029,-0.010,0.186
77.0,1.060,-0.019,0.153
78.0,1.055,-0.008,0.154
79.0,1.013,-0.014,0.182
80.0,1.033,-0.001,0.174
81.0,1.060,-0.005,0.146
82.0,1.026,-0.001,0.176
83.0,1.012,-0.014,0.205
84.0,1.050,-0.003,0.165
85.0,1.050,-0.011,0.168
86.0,1.029,-0.000,0.199
87.0,1.049,-0.022,0.175
88.0,1.056,-0.003,0.154
89.0,1.031,-0.009,0.181
90.0,1.027,-0.006,0.170
91.0,1.051,-0.024,0.164
92.0,1.044,-0.013,0.171
93.0,1.025,-0.020,0.174
94.0,1.038,-0.008,0.166
95.0,1.040,-0.015,0.183
96.0,1.041,-0.000,0.180
97.0,1.048,-0.024,0.168
98.0,1.037,0.001,0.174
99.0,1.032,-0.021,0.182
100.0,1.054,0.004,0.166
101.0,1.045,-0.013,0.166
102.0,1.031,-0.003,0.182
103.0,1.041,-0.004,0.168
104.0,1.050,-0.003,0.155
105.0,1.025,-0.021,0.189
106.0,1.035,-0.002,0.193
107.0,1.074,-0.017,0.152
108.0,1.057,-0.010,0.158
109.0,1.014,-0.013,0.197
110.0,1.035,-0.008,0.175
111.0,1.067,-0.009,0.150
112.0,1.027,-0.009,0.176
113.0,1.006,-0.023,0.195
114.0,1.049,-0.009,0.163
115.0,1.054,-0.013,0.171
116.0,1.026,-0.006,0.200
117.0,1.045,-0.021,0.179
118.0,1.060,-0.001,0.158
119.0,1.029,-0.015,0.177
